sample	control	group	fastq-r1	fastq-r2	genome	fragmentation-size	chip	cell_type
fastq/GSM6481670	NA	fastq/GSM6481670	fastq/GSM6481670_1.fastq.gz	fastq/GSM6481670_2.fastq.gz	hg38	NA	fastq/GSM6481670	fastq/GSM6481670
GSM6481643	NA	GSM6481643	GSM6481643_1.fastq.gz	GSM6481643_2.fastq.gz	hg38	200	GSM6481643	GSM6481643
GSM6481644	NA	GSM6481644	GSM6481644_1.fastq.gz	GSM6481644_2.fastq.gz	hg38	200	GSM6481644	GSM6481644
GSM6481645	NA	GSM6481645	GSM6481645_1.fastq.gz	GSM6481645_2.fastq.gz	hg38	200	GSM6481645	GSM6481645
GSM6481646	NA	GSM6481646	GSM6481646_1.fastq.gz	GSM6481646_2.fastq.gz	hg38	200	GSM6481646	GSM6481646
GSM6481647	NA	GSM6481647	GSM6481647_1.fastq.gz	GSM6481647_2.fastq.gz	hg38	200	GSM6481647	GSM6481647
GSM6481648	NA	GSM6481648	GSM6481648_1.fastq.gz	GSM6481648_2.fastq.gz	hg38	200	GSM6481648	GSM6481648
GSM6481649	NA	GSM6481649	GSM6481649_1.fastq.gz	GSM6481649_2.fastq.gz	hg38	200	GSM6481649	GSM6481649
GSM6481650	NA	GSM6481650	GSM6481650_1.fastq.gz	GSM6481650_2.fastq.gz	hg38	200	GSM6481650	GSM6481650
GSM6481651	NA	GSM6481651	GSM6481651_1.fastq.gz	GSM6481651_2.fastq.gz	hg38	200	GSM6481651	GSM6481651
GSM6481652	NA	GSM6481652	GSM6481652_1.fastq.gz	GSM6481652_2.fastq.gz	hg38	200	GSM6481652	GSM6481652
GSM6481653	NA	GSM6481653	GSM6481653_1.fastq.gz	GSM6481653_2.fastq.gz	hg38	200	GSM6481653	GSM6481653
GSM6481654	NA	GSM6481654	GSM6481654_1.fastq.gz	GSM6481654_2.fastq.gz	hg38	200	GSM6481654	GSM6481654
GSM6481655	NA	GSM6481655	GSM6481655_1.fastq.gz	GSM6481655_2.fastq.gz	hg38	200	GSM6481655	GSM6481655
GSM6481656	NA	GSM6481656	GSM6481656_1.fastq.gz	GSM6481656_2.fastq.gz	hg38	200	GSM6481656	GSM6481656
GSM6481657	NA	GSM6481657	GSM6481657_1.fastq.gz	GSM6481657_2.fastq.gz	hg38	200	GSM6481657	GSM6481657
GSM6481658	NA	GSM6481658	GSM6481658_1.fastq.gz	GSM6481658_2.fastq.gz	hg38	200	GSM6481658	GSM6481658
GSM6481659	NA	GSM6481659	GSM6481659_1.fastq.gz	GSM6481659_2.fastq.gz	hg38	200	GSM6481659	GSM6481659
GSM6481660	NA	GSM6481660	GSM6481660_1.fastq.gz	GSM6481660_2.fastq.gz	hg38	200	GSM6481660	GSM6481660
GSM6481661	NA	GSM6481661	GSM6481661_1.fastq.gz	GSM6481661_2.fastq.gz	hg38	200	GSM6481661	GSM6481661
GSM6481662	NA	GSM6481662	GSM6481662_1.fastq.gz	GSM6481662_2.fastq.gz	hg38	200	GSM6481662	GSM6481662
GSM6481663	NA	GSM6481663	GSM6481663_1.fastq.gz	GSM6481663_2.fastq.gz	hg38	200	GSM6481663	GSM6481663
GSM6481664	NA	GSM6481664	GSM6481664_1.fastq.gz	GSM6481664_2.fastq.gz	hg38	200	GSM6481664	GSM6481664
GSM6481665	NA	GSM6481665	GSM6481665_1.fastq.gz	GSM6481665_2.fastq.gz	hg38	200	GSM6481665	GSM6481665
GSM6481666	NA	GSM6481666	GSM6481666_1.fastq.gz	GSM6481666_2.fastq.gz	hg38	200	GSM6481666	GSM6481666
GSM6481667	NA	GSM6481667	GSM6481667_1.fastq.gz	GSM6481667_2.fastq.gz	hg38	200	GSM6481667	GSM6481667
GSM6481668	NA	GSM6481668	GSM6481668_1.fastq.gz	GSM6481668_2.fastq.gz	hg38	200	GSM6481668	GSM6481668
GSM6481669	NA	GSM6481669	GSM6481669_1.fastq.gz	GSM6481669_2.fastq.gz	hg38	200	GSM6481669	GSM6481669
GSM6481670	NA	GSM6481670	GSM6481670_1.fastq.gz	GSM6481670_2.fastq.gz	hg38	200	GSM6481670	GSM6481670
GSM6481671	NA	GSM6481671	GSM6481671_1.fastq.gz	GSM6481671_2.fastq.gz	hg38	200	GSM6481671	GSM6481671
GSM6481672	NA	GSM6481672	GSM6481672_1.fastq.gz	GSM6481672_2.fastq.gz	hg38	200	GSM6481672	GSM6481672
GSM6481673	NA	GSM6481673	GSM6481673_1.fastq.gz	GSM6481673_2.fastq.gz	hg38	200	GSM6481673	GSM6481673
GSM6481674	NA	GSM6481674	GSM6481674_1.fastq.gz	GSM6481674_2.fastq.gz	hg38	200	GSM6481674	GSM6481674
GSM6481675	NA	GSM6481675	GSM6481675_1.fastq.gz	GSM6481675_2.fastq.gz	hg38	200	GSM6481675	GSM6481675
GSM6481676	NA	GSM6481676	GSM6481676_1.fastq.gz	GSM6481676_2.fastq.gz	hg38	200	GSM6481676	GSM6481676
GSM6481677	NA	GSM6481677	GSM6481677_1.fastq.gz	GSM6481677_2.fastq.gz	hg38	200	GSM6481677	GSM6481677
GSM6481678	NA	GSM6481678	GSM6481678_1.fastq.gz	GSM6481678_2.fastq.gz	hg38	200	GSM6481678	GSM6481678
GSM6481679	NA	GSM6481679	GSM6481679_1.fastq.gz	GSM6481679_2.fastq.gz	hg38	200	GSM6481679	GSM6481679
GSM6481680	NA	GSM6481680	GSM6481680_1.fastq.gz	GSM6481680_2.fastq.gz	hg38	200	GSM6481680	GSM6481680
GSM6481681	NA	GSM6481681	GSM6481681_1.fastq.gz	GSM6481681_2.fastq.gz	hg38	200	GSM6481681	GSM6481681
GSM6481682	NA	GSM6481682	GSM6481682_1.fastq.gz	GSM6481682_2.fastq.gz	hg38	200	GSM6481682	GSM6481682
GSM6481683	NA	GSM6481683	GSM6481683_1.fastq.gz	GSM6481683_2.fastq.gz	hg38	200	GSM6481683	GSM6481683
GSM6481684	NA	GSM6481684	GSM6481684_1.fastq.gz	GSM6481684_2.fastq.gz	hg38	200	GSM6481684	GSM6481684
GSM6481685	NA	GSM6481685	GSM6481685_1.fastq.gz	GSM6481685_2.fastq.gz	hg38	200	GSM6481685	GSM6481685
GSM6481686	NA	GSM6481686	GSM6481686_1.fastq.gz	GSM6481686_2.fastq.gz	hg38	200	GSM6481686	GSM6481686
GSM6481687	NA	GSM6481687	GSM6481687_1.fastq.gz	GSM6481687_2.fastq.gz	hg38	200	GSM6481687	GSM6481687
GSM6481688	NA	GSM6481688	GSM6481688_1.fastq.gz	GSM6481688_2.fastq.gz	hg38	200	GSM6481688	GSM6481688
GSM6481689	NA	GSM6481689	GSM6481689_1.fastq.gz	GSM6481689_2.fastq.gz	hg38	200	GSM6481689	GSM6481689
GSM6481690	NA	GSM6481690	GSM6481690_1.fastq.gz	GSM6481690_2.fastq.gz	hg38	200	GSM6481690	GSM6481690
GSM6481691	NA	GSM6481691	GSM6481691_1.fastq.gz	GSM6481691_2.fastq.gz	hg38	200	GSM6481691	GSM6481691
GSM6481692	NA	GSM6481692	GSM6481692_1.fastq.gz	GSM6481692_2.fastq.gz	hg38	200	GSM6481692	GSM6481692
GSM6481693	NA	GSM6481693	GSM6481693_1.fastq.gz	GSM6481693_2.fastq.gz	hg38	200	GSM6481693	GSM6481693
GSM6481694	NA	GSM6481694	GSM6481694_1.fastq.gz	GSM6481694_2.fastq.gz	hg38	200	GSM6481694	GSM6481694
GSM6481695	NA	GSM6481695	GSM6481695_1.fastq.gz	GSM6481695_2.fastq.gz	hg38	200	GSM6481695	GSM6481695
GSM6481696	NA	GSM6481696	GSM6481696_1.fastq.gz	GSM6481696_2.fastq.gz	hg38	200	GSM6481696	GSM6481696
GSM6481697	NA	GSM6481697	GSM6481697_1.fastq.gz	GSM6481697_2.fastq.gz	hg38	200	GSM6481697	GSM6481697
GSM6481698	NA	GSM6481698	GSM6481698_1.fastq.gz	GSM6481698_2.fastq.gz	hg38	200	GSM6481698	GSM6481698
GSM6481699	NA	GSM6481699	GSM6481699_1.fastq.gz	GSM6481699_2.fastq.gz	hg38	200	GSM6481699	GSM6481699
GSM6481700	NA	GSM6481700	GSM6481700_1.fastq.gz	GSM6481700_2.fastq.gz	hg38	200	GSM6481700	GSM6481700
GSM6481701	NA	GSM6481701	GSM6481701_1.fastq.gz	GSM6481701_2.fastq.gz	hg38	200	GSM6481701	GSM6481701
GSM6481702	NA	GSM6481702	GSM6481702_1.fastq.gz	GSM6481702_2.fastq.gz	hg38	200	GSM6481702	GSM6481702
GSM6481703	NA	GSM6481703	GSM6481703_1.fastq.gz	GSM6481703_2.fastq.gz	hg38	200	GSM6481703	GSM6481703
GSM6481704	NA	GSM6481704	GSM6481704_1.fastq.gz	GSM6481704_2.fastq.gz	hg38	200	GSM6481704	GSM6481704
GSM6481705	NA	GSM6481705	GSM6481705_1.fastq.gz	GSM6481705_2.fastq.gz	hg38	200	GSM6481705	GSM6481705
GSM6481706	NA	GSM6481706	GSM6481706_1.fastq.gz	GSM6481706_2.fastq.gz	hg38	200	GSM6481706	GSM6481706
GSM6481707	NA	GSM6481707	GSM6481707_1.fastq.gz	GSM6481707_2.fastq.gz	hg38	200	GSM6481707	GSM6481707
GSM6481708	NA	GSM6481708	GSM6481708_1.fastq.gz	GSM6481708_2.fastq.gz	hg38	200	GSM6481708	GSM6481708
GSM6481709	NA	GSM6481709	GSM6481709_1.fastq.gz	GSM6481709_2.fastq.gz	hg38	200	GSM6481709	GSM6481709
GSM6481710	NA	GSM6481710	GSM6481710_1.fastq.gz	GSM6481710_2.fastq.gz	hg38	200	GSM6481710	GSM6481710
GSM6481711	NA	GSM6481711	GSM6481711_1.fastq.gz	GSM6481711_2.fastq.gz	hg38	200	GSM6481711	GSM6481711
GSM6481712	NA	GSM6481712	GSM6481712_1.fastq.gz	GSM6481712_2.fastq.gz	hg38	200	GSM6481712	GSM6481712
GSM6481713	NA	GSM6481713	GSM6481713_1.fastq.gz	GSM6481713_2.fastq.gz	hg38	200	GSM6481713	GSM6481713
GSM6481714	NA	GSM6481714	GSM6481714_1.fastq.gz	GSM6481714_2.fastq.gz	hg38	200	GSM6481714	GSM6481714
GSM6481715	NA	GSM6481715	GSM6481715_1.fastq.gz	GSM6481715_2.fastq.gz	hg38	200	GSM6481715	GSM6481715
GSM6481716	NA	GSM6481716	GSM6481716_1.fastq.gz	GSM6481716_2.fastq.gz	hg38	200	GSM6481716	GSM6481716
GSM6481717	NA	GSM6481717	GSM6481717_1.fastq.gz	GSM6481717_2.fastq.gz	hg38	200	GSM6481717	GSM6481717
GSM6481718	NA	GSM6481718	GSM6481718_1.fastq.gz	GSM6481718_2.fastq.gz	hg38	200	GSM6481718	GSM6481718
GSM6481719	NA	GSM6481719	GSM6481719_1.fastq.gz	GSM6481719_2.fastq.gz	hg38	200	GSM6481719	GSM6481719
GSM6481720	NA	GSM6481720	GSM6481720_1.fastq.gz	GSM6481720_2.fastq.gz	hg38	200	GSM6481720	GSM6481720
GSM6481721	NA	GSM6481721	GSM6481721_1.fastq.gz	GSM6481721_2.fastq.gz	hg38	200	GSM6481721	GSM6481721
GSM6481722	NA	GSM6481722	GSM6481722_1.fastq.gz	GSM6481722_2.fastq.gz	hg38	200	GSM6481722	GSM6481722
GSM6481723	NA	GSM6481723	GSM6481723_1.fastq.gz	GSM6481723_2.fastq.gz	hg38	200	GSM6481723	GSM6481723
GSM6481724	NA	GSM6481724	GSM6481724_1.fastq.gz	GSM6481724_2.fastq.gz	hg38	200	GSM6481724	GSM6481724
GSM6481725	NA	GSM6481725	GSM6481725_1.fastq.gz	GSM6481725_2.fastq.gz	hg38	200	GSM6481725	GSM6481725
GSM6481726	NA	GSM6481726	GSM6481726_1.fastq.gz	GSM6481726_2.fastq.gz	hg38	200	GSM6481726	GSM6481726
GSM6481727	NA	GSM6481727	GSM6481727_1.fastq.gz	GSM6481727_2.fastq.gz	hg38	200	GSM6481727	GSM6481727
GSM6481728	NA	GSM6481728	GSM6481728_1.fastq.gz	GSM6481728_2.fastq.gz	hg38	200	GSM6481728	GSM6481728
GSM6481729	NA	GSM6481729	GSM6481729_1.fastq.gz	GSM6481729_2.fastq.gz	hg38	200	GSM6481729	GSM6481729
GSM6481730	NA	GSM6481730	GSM6481730_1.fastq.gz	GSM6481730_2.fastq.gz	hg38	200	GSM6481730	GSM6481730
GSM6481731	NA	GSM6481731	GSM6481731_1.fastq.gz	GSM6481731_2.fastq.gz	hg38	200	GSM6481731	GSM6481731
GSM6481732	NA	GSM6481732	GSM6481732_1.fastq.gz	GSM6481732_2.fastq.gz	hg38	200	GSM6481732	GSM6481732
GSM6481733	NA	GSM6481733	GSM6481733_1.fastq.gz	GSM6481733_2.fastq.gz	hg38	200	GSM6481733	GSM6481733
GSM6481734	NA	GSM6481734	GSM6481734_1.fastq.gz	GSM6481734_2.fastq.gz	hg38	200	GSM6481734	GSM6481734
GSM6481735	NA	GSM6481735	GSM6481735_1.fastq.gz	GSM6481735_2.fastq.gz	hg38	200	GSM6481735	GSM6481735
GSM6481736	NA	GSM6481736	GSM6481736_1.fastq.gz	GSM6481736_2.fastq.gz	hg38	200	GSM6481736	GSM6481736
GSM6481737	NA	GSM6481737	GSM6481737_1.fastq.gz	GSM6481737_2.fastq.gz	hg38	200	GSM6481737	GSM6481737
GSM6481738	NA	GSM6481738	GSM6481738_1.fastq.gz	GSM6481738_2.fastq.gz	hg38	200	GSM6481738	GSM6481738
GSM6481739	NA	GSM6481739	GSM6481739_1.fastq.gz	GSM6481739_2.fastq.gz	hg38	200	GSM6481739	GSM6481739
GSM6481740	NA	GSM6481740	GSM6481740_1.fastq.gz	GSM6481740_2.fastq.gz	hg38	200	GSM6481740	GSM6481740
GSM6481741	NA	GSM6481741	GSM6481741_1.fastq.gz	GSM6481741_2.fastq.gz	hg38	200	GSM6481741	GSM6481741
GSM6481742	NA	GSM6481742	GSM6481742_1.fastq.gz	GSM6481742_2.fastq.gz	hg38	200	GSM6481742	GSM6481742
GSM6481743	NA	GSM6481743	GSM6481743_1.fastq.gz	GSM6481743_2.fastq.gz	hg38	200	GSM6481743	GSM6481743
GSM6481744	NA	GSM6481744	GSM6481744_1.fastq.gz	GSM6481744_2.fastq.gz	hg38	200	GSM6481744	GSM6481744
GSM6481745	NA	GSM6481745	GSM6481745_1.fastq.gz	GSM6481745_2.fastq.gz	hg38	200	GSM6481745	GSM6481745
GSM6481746	NA	GSM6481746	GSM6481746_1.fastq.gz	GSM6481746_2.fastq.gz	hg38	200	GSM6481746	GSM6481746
GSM6481747	NA	GSM6481747	GSM6481747_1.fastq.gz	GSM6481747_2.fastq.gz	hg38	200	GSM6481747	GSM6481747
GSM6481748	NA	GSM6481748	GSM6481748_1.fastq.gz	GSM6481748_2.fastq.gz	hg38	200	GSM6481748	GSM6481748
GSM6481749	NA	GSM6481749	GSM6481749_1.fastq.gz	GSM6481749_2.fastq.gz	hg38	200	GSM6481749	GSM6481749
GSM6481750	NA	GSM6481750	GSM6481750_1.fastq.gz	GSM6481750_2.fastq.gz	hg38	200	GSM6481750	GSM6481750
GSM6481751	NA	GSM6481751	GSM6481751_1.fastq.gz	GSM6481751_2.fastq.gz	hg38	200	GSM6481751	GSM6481751
GSM6481752	NA	GSM6481752	GSM6481752_1.fastq.gz	GSM6481752_2.fastq.gz	hg38	200	GSM6481752	GSM6481752
GSM6481753	NA	GSM6481753	GSM6481753_1.fastq.gz	GSM6481753_2.fastq.gz	hg38	200	GSM6481753	GSM6481753
GSM6481754	NA	GSM6481754	GSM6481754_1.fastq.gz	GSM6481754_2.fastq.gz	hg38	200	GSM6481754	GSM6481754
GSM6481755	NA	GSM6481755	GSM6481755_1.fastq.gz	GSM6481755_2.fastq.gz	hg38	200	GSM6481755	GSM6481755
GSM6481756	NA	GSM6481756	GSM6481756_1.fastq.gz	GSM6481756_2.fastq.gz	hg38	200	GSM6481756	GSM6481756
GSM6481757	NA	GSM6481757	GSM6481757_1.fastq.gz	GSM6481757_2.fastq.gz	hg38	200	GSM6481757	GSM6481757
GSM6481758	NA	GSM6481758	GSM6481758_1.fastq.gz	GSM6481758_2.fastq.gz	hg38	200	GSM6481758	GSM6481758
GSM6481759	NA	GSM6481759	GSM6481759_1.fastq.gz	GSM6481759_2.fastq.gz	hg38	200	GSM6481759	GSM6481759
GSM6481760	NA	GSM6481760	GSM6481760_1.fastq.gz	GSM6481760_2.fastq.gz	hg38	200	GSM6481760	GSM6481760
GSM6481761	NA	GSM6481761	GSM6481761_1.fastq.gz	GSM6481761_2.fastq.gz	hg38	200	GSM6481761	GSM6481761
GSM6481762	NA	GSM6481762	GSM6481762_1.fastq.gz	GSM6481762_2.fastq.gz	hg38	200	GSM6481762	GSM6481762
GSM6481763	NA	GSM6481763	GSM6481763_1.fastq.gz	GSM6481763_2.fastq.gz	hg38	200	GSM6481763	GSM6481763
GSM6481764	NA	GSM6481764	GSM6481764_1.fastq.gz	GSM6481764_2.fastq.gz	hg38	200	GSM6481764	GSM6481764
GSM6481765	NA	GSM6481765	GSM6481765_1.fastq.gz	GSM6481765_2.fastq.gz	hg38	200	GSM6481765	GSM6481765
GSM6481766	NA	GSM6481766	GSM6481766_1.fastq.gz	GSM6481766_2.fastq.gz	hg38	200	GSM6481766	GSM6481766
GSM6481767	NA	GSM6481767	GSM6481767_1.fastq.gz	GSM6481767_2.fastq.gz	hg38	200	GSM6481767	GSM6481767
GSM6481768	NA	GSM6481768	GSM6481768_1.fastq.gz	GSM6481768_2.fastq.gz	hg38	200	GSM6481768	GSM6481768
GSM6481769	NA	GSM6481769	GSM6481769_1.fastq.gz	GSM6481769_2.fastq.gz	hg38	200	GSM6481769	GSM6481769
GSM6481770	NA	GSM6481770	GSM6481770_1.fastq.gz	GSM6481770_2.fastq.gz	hg38	200	GSM6481770	GSM6481770
GSM6481771	NA	GSM6481771	GSM6481771_1.fastq.gz	GSM6481771_2.fastq.gz	hg38	200	GSM6481771	GSM6481771
GSM6481772	NA	GSM6481772	GSM6481772_1.fastq.gz	GSM6481772_2.fastq.gz	hg38	200	GSM6481772	GSM6481772
GSM6481773	NA	GSM6481773	GSM6481773_1.fastq.gz	GSM6481773_2.fastq.gz	hg38	200	GSM6481773	GSM6481773
GSM6481774	NA	GSM6481774	GSM6481774_1.fastq.gz	GSM6481774_2.fastq.gz	hg38	200	GSM6481774	GSM6481774
GSM6481775	NA	GSM6481775	GSM6481775_1.fastq.gz	GSM6481775_2.fastq.gz	hg38	200	GSM6481775	GSM6481775
GSM6481776	NA	GSM6481776	GSM6481776_1.fastq.gz	GSM6481776_2.fastq.gz	hg38	200	GSM6481776	GSM6481776
GSM6481777	NA	GSM6481777	GSM6481777_1.fastq.gz	GSM6481777_2.fastq.gz	hg38	200	GSM6481777	GSM6481777
GSM6481778	NA	GSM6481778	GSM6481778_1.fastq.gz	GSM6481778_2.fastq.gz	hg38	200	GSM6481778	GSM6481778
GSM6481779	NA	GSM6481779	GSM6481779_1.fastq.gz	GSM6481779_2.fastq.gz	hg38	200	GSM6481779	GSM6481779
GSM6481780	NA	GSM6481780	GSM6481780_1.fastq.gz	GSM6481780_2.fastq.gz	hg38	200	GSM6481780	GSM6481780
GSM6481781	NA	GSM6481781	GSM6481781_1.fastq.gz	GSM6481781_2.fastq.gz	hg38	200	GSM6481781	GSM6481781
GSM6481782	NA	GSM6481782	GSM6481782_1.fastq.gz	GSM6481782_2.fastq.gz	hg38	200	GSM6481782	GSM6481782
GSM6481783	NA	GSM6481783	GSM6481783_1.fastq.gz	GSM6481783_2.fastq.gz	hg38	200	GSM6481783	GSM6481783
GSM6481784	NA	GSM6481784	GSM6481784_1.fastq.gz	GSM6481784_2.fastq.gz	hg38	200	GSM6481784	GSM6481784
GSM6481785	NA	GSM6481785	GSM6481785_1.fastq.gz	GSM6481785_2.fastq.gz	hg38	200	GSM6481785	GSM6481785
GSM6481786	NA	GSM6481786	GSM6481786_1.fastq.gz	GSM6481786_2.fastq.gz	hg38	200	GSM6481786	GSM6481786
GSM6481787	NA	GSM6481787	GSM6481787_1.fastq.gz	GSM6481787_2.fastq.gz	hg38	200	GSM6481787	GSM6481787
GSM6481788	NA	GSM6481788	GSM6481788_1.fastq.gz	GSM6481788_2.fastq.gz	hg38	200	GSM6481788	GSM6481788
GSM6481789	NA	GSM6481789	GSM6481789_1.fastq.gz	GSM6481789_2.fastq.gz	hg38	200	GSM6481789	GSM6481789
GSM6481790	NA	GSM6481790	GSM6481790_1.fastq.gz	GSM6481790_2.fastq.gz	hg38	200	GSM6481790	GSM6481790
GSM6481791	NA	GSM6481791	GSM6481791_1.fastq.gz	GSM6481791_2.fastq.gz	hg38	200	GSM6481791	GSM6481791
GSM6481792	NA	GSM6481792	GSM6481792_1.fastq.gz	GSM6481792_2.fastq.gz	hg38	200	GSM6481792	GSM6481792
GSM6481793	NA	GSM6481793	GSM6481793_1.fastq.gz	GSM6481793_2.fastq.gz	hg38	200	GSM6481793	GSM6481793
GSM6481794	NA	GSM6481794	GSM6481794_1.fastq.gz	GSM6481794_2.fastq.gz	hg38	200	GSM6481794	GSM6481794
GSM6481795	NA	GSM6481795	GSM6481795_1.fastq.gz	GSM6481795_2.fastq.gz	hg38	200	GSM6481795	GSM6481795
GSM6481796	NA	GSM6481796	GSM6481796_1.fastq.gz	GSM6481796_2.fastq.gz	hg38	200	GSM6481796	GSM6481796
GSM6481797	NA	GSM6481797	GSM6481797_1.fastq.gz	GSM6481797_2.fastq.gz	hg38	200	GSM6481797	GSM6481797
GSM6481798	NA	GSM6481798	GSM6481798_1.fastq.gz	GSM6481798_2.fastq.gz	hg38	200	GSM6481798	GSM6481798
GSM7838984	NA	GSM7838984	GSM7838984_1.fastq.gz	GSM7838984_2.fastq.gz	hg38	200	GSM7838984	GSM7838984
